title,city,phone,website,reviews,rating,audit_status,audit_error,audit_body_len,audit_fbq_pixel,audit_gtag,audit_analytics_js,audit_schema_org,audit_local_business_schema,audit_lead_form,audit_whatsapp,audit_view_port_meta,score,reasons
"Putt Punjab De Bhangra Academy, Mohali",Sahibzada Ajit Singh Nagar,+91 95903 10001,https://rohitjaura.github.io/PuttPunjabDeScanResult/,32,4.9,200,,13915,False,False,False,False,False,False,True,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Training in Tricity - Personal Women Trainer - Zumba - Aerobics - yoga - various dance forms - wedding choerography,Chandigarh,+91 98887 78677,https://fitwithjyoti.carrd.co/,30,4.9,200,,88398,False,False,False,False,False,False,True,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
SB Wellness Center,Chandigarh,,http://www.drshalinderkaur.com/,26,4.8,200,,150000,False,False,False,False,False,False,True,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Brodeway Etender डिजिटल signature Gym,Chandigarh,+91 92164 16567,http://www.brodeway.in/,25,4.4,200,,149933,False,False,False,True,False,False,True,False,5,NO_TRACKING(+2) | no_form(+1) | not_responsive(+1) | no_local_schema(+1)
JD Dance & Fitness Studio,Zirakpur,+91 99155 66691,https://sites.google.com/view/jd-dance-fitness-studio?usp=sharing,25,5,200,,120520,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Divine Yoga Centre,Chandigarh,+91 90232 92908,https://sites.google.com/view/divineyoganeelima/home,24,5,200,,117385,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Chandigarh Physiotherapy Center,Sahibzada Ajit Singh Nagar,,https://business.google.com/v/_/AKsrIN1oq0Jye1y3Gm5rxY8qY_MPQ8pW2n-cW4kPnLKxBTvKfZFdTKg/10ac/_?exp=1778401&myads=1,24,5,200,,149999,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
MISSION INDIA FITNESS INSTITUTE GURGAON,Sahibzada Ajit Singh Nagar,,http://www.gmmifi.com/,23,4.5,200,,90269,False,False,False,False,False,False,True,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Club 72 Gym - Vajra Martial Arts Academy,Sahibzada Ajit Singh Nagar,+91 92057 40391,https://www.club72gym.com/,18,4.7,200,,149978,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Pilates Social Club,Sahibzada Ajit Singh Nagar,+91 80909 09777,http://pilatessocialclub.in/,18,5,200,,41061,False,False,False,False,False,False,True,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
The Impirium Flex Gym,Sahibzada Ajit Singh Nagar,+91 98157 75333,https://www.theimpiriumflex.com/,16,3.8,200,,8086,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Yogamrit Anandam - Panchkula ( Yoga & Wellness ),Panchkula,+91 80502 74881,https://calendar.app.google/y3Y5Udw3NsZnSi968,16,5,200,,41844,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
New Horizon Fitness Zone,Sahibzada Ajit Singh Nagar,+91 81120 60050,https://newhorizonfitnesszone.my.canva.site/,13,5,200,,150000,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Krishna Wellness and Healthcare,Sahibzada Ajit Singh Nagar,,https://krishna-wellness-qwodwf6.gamma.site/,13,5,200,,149999,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
