title,category,city,postal,state,address,phone,website,rating,reviews,claimed,categories,placeId,lat,lng,imagesCount,_reason
HemSach Yoga - 2nd | Best Yoga Classes & Fitness Training Advanced Yoga • Pranayama • Meditation • Personal Yoga Trainer,Yoga studio,"Sahibzade, Sahibzada Ajit Singh Nagar",160062,Punjab,"SCF 37, Phase 11, Tarf Kumbra, Sahibzade, Sahibzada Ajit Singh Nagar, Punjab 160062, India",,https://www.instagram.com/hemsach_yoga?igsh=NHNxcmE2bWVybnJp&utm_source=qr,5,13,False,['Yoga studio'],ChIJf-_fs2LtDzkR5hXa9aebk-Q,30.6815833,76.7442364,25,primary_cat
The Yoga’s hub by Nirmal Kaur,Yoga retreat center,"Sahibzada Ajit Singh Nagar, Lamba",160062,Punjab,"near PCA Stadium, SCF - 27, Phase 9, Sahibzada Ajit Singh Nagar, Lamba, Punjab 160062, India",+91 99143 44503,,5,3,False,['Yoga retreat center'],ChIJ40BSOu3vDzkRgJQp8cSVLsc,30.6931294,76.7334359,47,title_keyword
Gurukul Yoga instructor's provider,Yoga studio,Sahibzada Ajit Singh Nagar,160062,Punjab,"Shaibzada Ajit Singh Nagar, Sector 68, Kumbra, Sahibzada Ajit Singh Nagar, Punjab 160062, India",,,5,13,False,['Yoga studio'],ChIJ5yETcWm5DzkRU-WH5z_9Ges,30.6849585,76.7245958,22,primary_cat
Ashtang Yogpeeth,Yoga studio,Sahibzada Ajit Singh Nagar,160062,Punjab,"Second Floor, SCF - 20, Phase 11, Sector 65, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 98882 22864,,4.9,18,False,"['Yoga studio', 'Bikram yoga studio', 'Wellness center', 'Yoga instructor', 'Yoga retreat center']",ChIJY6FZgBvtDzkRmCg4nQEB1Qo,30.6824287,76.7434276,15,primary_cat
Sanskriti yog studio,Yoga studio,Sahibzada Ajit Singh Nagar,160062,Punjab,"2678, Sector 67, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 92594 11655,,5,13,False,['Yoga studio'],ChIJO0AhcwDvDzkROMn2sDIiFlo,30.6786794,76.7246335,84,primary_cat
YoKalp (Pilates & Yoga Studio),Yoga studio,Sahibzada Ajit Singh Nagar,160062,Punjab,"Sco-2, near Waycup Cafe, Sector 68, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 6284 833 593,https://yokalp.com/sec-68-mohali/,4.8,196,False,"['Yoga studio', 'Pilates studio']",ChIJh4DVcZLuDzkRQvf__-JfKI4,30.6854252,76.7214728,121,primary_cat
Elevate Wellness Club - Best Gym in Mohali,Gym,Sahibzada Ajit Singh Nagar,160062,Punjab,"SCO 112 to 114, Phase 10, Sector 64, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 172 500 4122,https://true-elevate.com/,4.6,505,False,['Gym'],ChIJfa1cMn_tDzkRtXk_UaF52B0,30.6837226,76.7421205,93,primary_cat
Mudraa Yoga & Pilates,Yoga studio,Sahibzada Ajit Singh Nagar,160062,Punjab,"6, 4th floor, S C O 5, Central Street, Sector 67, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 83606 49435,,4.8,30,False,['Yoga studio'],ChIJBVM2VBvtDzkRP_BiU1KmyZQ,30.6762546,76.7242594,9,primary_cat
RESETUP Fitness,Pilates studio,Sahibzada Ajit Singh Nagar,160062,Punjab,"SCf 42-43 second floor, Phase 11, Tarf Kumbra, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 85570 03935,,5,152,False,"['Pilates studio', 'Fitness center']",ChIJrYGsN3XtDzkRkST4nz5jA4o,30.6816089,76.744505,249,primary_cat
Burn Gym Phase 9 Mohali | Best Gym in Mohali | Premium Fitness,Gym,Sahibzada Ajit Singh Nagar,160062,Punjab,"Punjab Olympic Association, opp. House No 714, Phase 9, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 172 501 0106,https://www.burngym.com/mohali-gym-phase9,4.7,1088,False,['Gym'],ChIJ0d6ACmjvDzkRvJVoX9ZVua8,30.6898783,76.7330455,230,primary_cat
Fat to Fit Diet Clinic — Yoga & Pilates studio,Fitness center,Sahibzada Ajit Singh Nagar,160062,Punjab,"SCF-91, Sector 61, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 97450 66638,,4.8,89,False,"['Fitness center', 'Dietitian', 'Pilates studio', 'Mediation service', 'Meditation center', 'Wellness center', 'Yoga studio']",ChIJ2WQLjyHvDzkRIZO4ND6Cu4M,30.703755,76.7265704,53,primary_cat
Sound Soul Yogshala,Yoga studio,Sahibzada Ajit Singh Nagar,160062,Punjab,"4160, Sector 68, Sahibzada Ajit Singh Nagar, Punjab 160062, India",,,,,False,['Yoga studio'],ChIJlWpo4wfvDzkRQVkGntubSKo,30.6824648,76.7214902,0,primary_cat
Yogic Ape - Yoga Studio,Yoga studio,Sahibzada Ajit Singh Nagar,140308,Punjab,"974, Sector 79, Sahibzada Ajit Singh Nagar, Punjab 140308, India",+91 90413 17246,,5,23,False,"['Yoga studio', 'Personal trainer']",ChIJsyay9K7vDzkRF7Ppi82yxoE,30.6784298,76.7167886,6,primary_cat
Yogasini Wellness,Yoga studio,Sahibzada Ajit Singh Nagar,160059,Punjab,"1633, near Saint Ishar School, Sector 70, Sahibzada Ajit Singh Nagar, Punjab 160059, India",,,5,24,False,"['Yoga studio', 'Acupuncture clinic']",ChIJ17TkMgDvDzkRtE9j-ATJv8I,30.6979807,76.7175604,23,primary_cat
Sidhu Fitness Garage,Gym,"Bar Majra, Sahibzada Ajit Singh Nagar",160055,Punjab,"sidhu Fitness Garage, near Gurudwara sahibvillage, Bar Majra, Sahibzada Ajit Singh Nagar, Punjab 160055, India",+91 83603 18176,,4.8,36,False,['Gym'],ChIJg18Gdx7vDzkRAw6r5wlWKG8,30.7415912,76.6996379,58,primary_cat
Pro Ultimate Gyms Sector 117 TDI Mohali,Gym,Sahibzada Ajit Singh Nagar,140307,Punjab,"SCO 142-143, Sector 117, TDI, Sahibzada Ajit Singh Nagar, Punjab 140307, India",+91 74074 04800,https://proultimategyms.in/,4.8,965,False,['Gym'],ChIJeRtuGbjvDzkRpWGV6RNS0n0,30.7261621,76.6801848,154,primary_cat
Next level fitness,Gym,Sahibzada Ajit Singh Nagar,160055,Punjab,"PMHW+3RX, Sector 119, Balongi, Sahibzada Ajit Singh Nagar, Punjab 160055, India",,,4.9,277,True,['Gym'],ChIJL60MA1TvDzkR41iJWWd4fl4,30.7277395,76.6971008,22,primary_cat
Step2Step Dance Studio,Dance school,Sahibzada Ajit Singh Nagar,160062,Punjab,"SCF 53 Second Floor, Phase 10, Sector 64, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 98881 37158,https://www.s2sdancestudio.com/,4.5,200,False,"['Dance school', 'Aerobics instructor', 'Fitness center', 'Hip hop dance class']",ChIJH2mMF6btDzkRrsyHrcvAe6c,30.686179,76.7389386,132,secondary_cat
Fit Evoke,Wellness center,Sahibzada Ajit Singh Nagar,160062,Punjab,"Scf No 27, above Yes Bank, Phase 10, Urban Estate, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 99880 09694,,5,15,False,['Wellness center'],ChIJY0APXyPtDzkR1D3HDLDmxC0,30.687348,76.7379509,4,primary_cat
